source_id,name,type,country,website,ships_to,specialties,access,notes,source
SRC-001,NordGen,gene_bank,Sweden,https://www.nordgen.org,Nordic countries,cereals;legumes;forages;wild relatives,request with research justification,Nordic Gene Resource Centre; 33000+ accessions of Nordic crop diversity,NordGen catalog
SRC-002,GRIN/NPGS,gene_bank,USA,https://www.ars-grin.gov,worldwide,all crops;wild relatives;landraces,free for research and education,USDA National Plant Germplasm System; 600000+ accessions,USDA ARS
SRC-003,IPK Gatersleben,gene_bank,Germany,https://www.ipk-gatersleben.de,worldwide,cereals;barley;wheat;rye,request with research justification,Leibniz Institute; one of world's largest collections; 150000+ accessions,IPK catalog
SRC-004,VIR (Vavilov Institute),gene_bank,Russia,https://www.vir.nw.ru,limited,wheat;rye;barley;oat;wild relatives,restricted; institutional agreements,Founded by Nikolai Vavilov; 320000+ accessions; historically significant,VIR collection records
SRC-005,ICARDA,gene_bank,Lebanon,https://www.icarda.org,worldwide,wheat;barley;lentil;faba bean;chickpea,request with research justification,Dryland agriculture focus; rebuilt collection after Syrian conflict,ICARDA genebank
SRC-006,Adaptive Seeds,heritage_seed_company,USA,https://www.adaptiveseeds.com,USA,open-pollinated grains;wheat;rye;emmer;einkorn,retail online,Pacific Northwest bred and adapted; strong heritage grain selection,Adaptive Seeds catalog
SRC-007,Restoration Seeds,heritage_seed_company,USA,https://www.restorationseeds.com,USA,heritage wheat;ancient grains;rare varieties,retail online,Specializes in pre-Green Revolution wheat varieties,Restoration Seeds catalog
SRC-008,Fedco Seeds,heritage_seed_company,USA,https://www.fedcoseeds.com,USA,cold-hardy grains;cover crops;heritage varieties,retail online; cooperative,Worker-owned cooperative; strong Northeast cold-hardy selection,Fedco Seeds catalog
SRC-009,Heritage Grain Conservancy,heritage_seed_company,USA,https://growseed.org,USA,landrace wheat;heritage grains;seed preservation,retail online; membership,Eli Rogosa's seed preservation project; extensive landrace collection,Heritage Grain Conservancy
SRC-010,Bountiful Gardens,heritage_seed_company,USA,,USA (historical),heritage grains;legumes;rare food plants,defunct,Defunct (Ecology Action project closed); former seeds now available via Seed Savers Exchange and individual collectors,Historical reference
SRC-011,Lantmannen,commercial_nordic,Sweden,https://www.lantmannen.se,Nordic countries;EU,winter wheat;spring barley;oat;rye,commercial licensing,Swedish agricultural cooperative; major Nordic cereal breeder,Lantmannen breeding
SRC-012,Boreal Plant Breeding,commercial_nordic,Finland,https://www.boreal.fi,Nordic countries;Baltics,winter wheat;spring cereals;extreme cold hardy,commercial licensing,Finnish breeding for zones 2-5; Veli winter wheat,Boreal catalog
SRC-013,Graminor,commercial_nordic,Norway,https://www.graminor.no,Nordic countries,winter wheat;spring barley;forage,commercial licensing,Norwegian breeding; Magnifik winter wheat; focus on maritime climates,Graminor catalog
SRC-014,Seed Savers Exchange,community,USA,https://www.seedsavers.org,USA,heritage varieties;heirlooms;member exchanges,membership; retail online,35000+ varieties in collection; member-to-member seed swaps,SSE catalog
SRC-015,Association Kokopelli,community,France,https://kokopelli-semences.fr,EU,heritage cereals;ancient grains;open-pollinated,membership; retail,French seed preservation; focus on biodiversity and seed freedom,Kokopelli catalog
