eppo_code,pathogen_name,common_name,host_crops,pathogen_type,geographic_range,severity,cold_climate_risk,management,quarantine_eu,notes,source
PUCCRT,Puccinia triticina,Wheat leaf rust,wheat;spelt;emmer;einkorn;triticale,fungus,Global,high,moderate,Resistant cultivars;fungicide application;crop rotation,false,Major yield-limiting disease; heritage wheats often lack Lr resistance genes,gd.eppo.int
PUCCST,Puccinia striiformis,Wheat stripe rust (yellow rust),wheat;spelt;emmer;einkorn;triticale,fungus,Global (cool-temperate),very_high,high,Resistant cultivars;foliar fungicides;early sowing avoidance,false,Favoured by cool moist conditions; increasing in Scandinavia with climate change,gd.eppo.int
PUCCGT,Puccinia graminis f.sp. tritici,Wheat stem rust,wheat;spelt;emmer;einkorn;barley;rye;triticale,fungus,Global,very_high,moderate,Sr resistance genes;fungicides;eradication of Berberis spp.,false,Ug99 lineage threatens heritage wheats lacking Sr31/Sr38; wind-borne long-distance dispersal,gd.eppo.int
GIBBZE,Fusarium graminearum,Fusarium head blight (FHB),wheat;spelt;emmer;einkorn;barley;oat;triticale;rye,fungus,Temperate worldwide,very_high,high,Resistant cultivars;crop rotation (avoid maize);fungicides at anthesis;DON monitoring,false,Primary DON mycotoxin producer; warm humid flowering conditions trigger epidemics; critical for grain quality,gd.eppo.int
ZYMTR1,Zymoseptoria tritici,Septoria tritici blotch (STB),wheat;spelt;emmer;triticale,fungus,Temperate worldwide,high,high,Resistant cultivars;fungicides;crop residue management,false,Dominant foliar disease in NW Europe; rain-splash dispersed; heritage wheats vary in Stb gene content,gd.eppo.int
LEPTNO,Parastagonospora nodorum,Septoria nodorum blotch (SNB),wheat;spelt;emmer;triticale,fungus,Temperate worldwide,moderate,moderate,Resistant cultivars;seed treatment;crop rotation,false,Both seed-borne and rain-splash; more common in Nordic spring wheat,gd.eppo.int
ERYSGT,Blumeria graminis f.sp. tritici,Powdery mildew of wheat,wheat;spelt;emmer;einkorn;triticale,fungus,Temperate worldwide,moderate,moderate,Mlo/Pm resistance genes;fungicides;avoid dense sowing,false,Heritage wheats often carry Pm genes from wild emmer; spelt and emmer show variable resistance,gd.eppo.int
MONONI,Microdochium nivale,Pink snow mould,wheat;rye;barley;oat;triticale;forage grasses,fungus,Northern Europe;North America;Japan,high,very_high,Snow mould-tolerant cultivars;avoid late sowing;fungicide seed treatment,false,Most important winter-kill pathogen in Scandinavia; attacks under snow cover at 0-5 C,gd.eppo.int
TYPHIC,Typhula incarnata,Grey snow mould (speckled snow mould),wheat;rye;barley;triticale;forage grasses,fungus,Northern Europe;North America;Japan,moderate,very_high,Tolerant cultivars;avoid excessive N;seed treatment,false,Requires prolonged snow cover >90 days; major in Finland and northern Sweden,gd.eppo.int
SCLEBO,Sclerotinia borealis,Snow scald,wheat;rye;barley;forage grasses,fungus,Arctic and subarctic regions,moderate,very_high,Tolerant cultivars;snow management;crop rotation,false,Restricted to regions with >100 days snow cover; serious in northern Scandinavia and Iceland,gd.eppo.int
