starter_id,recipe,hydration_pct,flour_type,fermentation_schedule,serving_notes,source
SS-001,San Francisco Sourdough Boule,70,bread flour (AP blend),Feed 12h before; autolyse 30min; bulk 5-6h RT; shape; proof 2h or overnight fridge; bake 250C Dutch oven,Sharp tangy crust; open crumb; classic SF sourdough,Boudin tradition adapted
SS-002,Panettone Madre,55,tipo 00 + semolina,Build over 3 refreshments 8h apart; final dough with eggs/butter; proof 12-16h inverted; bake 170C,Sweet holiday bread; tall dome; stiff starter gives lift and mild flavor,Italian bakery tradition
SS-003,Finnish Ruisleipa,85,whole rye (coarse),Feed with whole rye 12h; mix batter (not dough); ferment 6-12h RT; bake 220C for 50min; cool 24h before slicing,Dense sour rye; round with hole; national bread of Finland,Fazer bakery adapted
SS-004,Swedish Limpa,75,light rye + bread flour (60:40),Feed 8h; mix with malt syrup + fennel + orange peel; bulk 4-6h; shape; proof 2h; bake 200C 40min,Slightly sweet spiced rye; soft crumb; Christmas tradition,Swedish home baking
SS-005,Danish Rugbrod,80,rye flour + cracked rye + seeds,Feed 12h; soak cracked rye and seeds overnight; mix batter; press into pan; ferment 12-24h; bake 170C 90min; cool 24h,Dense seeded rye; sliced thin; improves for days; smørrebrød base,Meyers Bageri adapted
SS-006,Pain de Campagne Canadien,68,heritage wheat (80%) + rye (20%),Feed 8h; autolyse 45min; bulk 4-5h with stretch-fold; cold retard 12-16h; bake 250C Dutch oven,Rustic country loaf; tangy but balanced; good crumb structure,Canadian artisan tradition
SS-007,Icelandic Rugbraud (Hot Spring Rye),80,dark rye flour,Feed rye starter 12h; mix thick batter with dark malt syrup; pour into pot; seal tightly; bury in hot spring or bake 100C for 24h,Dense sweet rye; no crust; dark and malty; traditionally buried near geothermal vents,Icelandic geothermal baking tradition
SS-008,Egyptian Aish Baladi,72,whole wheat (stone-ground),Feed with whole wheat 8h; mix; short bulk 2-3h (warm climate ferment); flatten to 1cm; bake on stone 350C 3-5min,Puffed flatbread; smoky; charred spots; tear-and-share,Cairo street bread adapted
SS-009,German Bauernbrot,75,rye (60%) + bread wheat (40%),Feed rye sour 12h; combine with wheat flour; bulk 3-4h; shape into oval; proof 90min; bake 230C 45min with steam,Farmer's bread; balanced sour; dense but not heavy; good keeper,Bavarian tradition
SS-010,Norwegian Flatbrod,90,barley flour + rye flour (50:50),Feed with barley-rye blend 8h; mix thin batter; roll paper-thin on cloth; bake on griddle or takke 300C until crisp,Crisp paper-thin flatbread; grainy and nutty; keeps for months; traditional with butter and brown cheese,Bakeriet i Lom tradition
SS-011,Russian Borodinsky Bread,80,whole rye + rye malt,Feed zakvasca 8-12h; scald rye malt with boiling water 4h; combine with sour; add coriander; bake in pan 200C 60min; cool 24h,Dense aromatic dark rye; coriander-scented; improves for days; iconic Russian bread,Moscow bakery tradition
SS-013,Alaskan Frontier Sourdough Pancakes,100,bread flour (all-purpose),Night before: mix starter + flour + water into sponge; morning: add egg + oil + sugar + baking soda; cook on hot griddle,Fluffy tangy pancakes; Gold Rush tradition; the quintessential bush Alaska breakfast,Alaskan sourdough tradition
SS-014,Swiss Alpine Rye-Spelt Bread,75,rye (50%) + spelt (50%),Feed with rye-spelt blend 10h; autolyse 20min; bulk 4-5h at cool RT; shape round; proof 2h; bake 230C on stone 45min,Rustic alpine loaf; nutty from spelt; mild sour; dense crumb; pairs with raclette,Graubünden farmhouse baking
SS-015,Japanese Shokupan Levain,62,high-protein bread flour,Feed wheat levain 8h; tangzhong (water roux) 65C; combine with milk/butter/sugar; bulk 3h; shape in Pullman pan; proof 2h; bake 180C 35min,Incredibly soft milk bread; cloud-like crumb; mild tang from levain,Japanese bakery adapted
SS-016,Ethiopian Injera,100,teff flour (100%),Feed with teff 24-48h (injera cultures are slow); thin batter; pour on hot mitad/griddle; cover; steam 2-3min; peel off,Spongy fermented flatbread; sour and tangy; plate and utensil in one,Addis Ababa tradition
SS-017,Polish Chleb Zytni (Rye Bread),85,whole rye + caraway seeds,Feed zakwas 10-12h; mix with rye flour and caraway; bulk 3-4h; shape into oval loaf; proof 90min in banneton; bake 220C 50min with steam,Dense aromatic rye; caraway-scented; sliced thin; also base for zurek soup,Kraków bakery tradition
SS-021,Mexican Pan de Muerto,70,bread flour + masa harina (80:20),Feed masa madre 8h; mix with eggs + butter + orange zest + anise; bulk 3h; shape round with bone decorations; proof 2h; bake 180C 30min; brush with butter + sugar,Sweet anise-orange bread for Day of the Dead; sticky-sweet crust; served with hot chocolate,Oaxacan panadería tradition
SS-022,Scottish Oat Barm Bread,90,oat flour (40%) + bread flour (60%),Feed barm 8h with oat-wheat blend; mix dough; bulk 4-5h; shape; proof 2h; bake 220C 35min,Malty oat-wheat loaf; soft crumb; subtle ale character from barm heritage; good toasted,Edinburgh bakery tradition
SS-023,Latvian Rupjmaize (Dark Rye),85,coarse dark rye + rye malt,Feed starter 12h; scald rye malt 4h; combine with caraway + honey; ferment in pan 8-12h; bake 180C 90min; cool 24h,Very dense sweet-sour dark rye; sliced paper-thin; keeps for weeks; served with butter,Latvian rye bread tradition
SS-024,Estonian Leib (Black Bread),85,whole rye + barley malt,Feed leivajuur 12h; scald barley malt; combine with cumin seeds; ferment in loaf pan 10-14h; bake 190C 75min; rest 24h,Dense dark bread; malty and slightly sweet; Estonian national bread; ages beautifully,Tallinn Leibur bakery adapted
SS-027,Faroese Rúgbreyð,85,dark rye flour,Feed starter 12h; mix thick batter with dark malt and a pinch of sea salt; ferment 12-18h in sealed pot; steam-bake 120C for 8-12h,Dense sweet dark rye; no crust; almost cake-like; traditional island bread surviving harsh North Atlantic conditions,Faroese home baking tradition
SS-030,Amish Friendship Bread,100,bread flour,Receive starter from friend; feed daily for 10 days (1 cup each flour/sugar/milk); on day 10 divide into 4 portions; keep 1 and gift 3; add cinnamon/vanilla/pudding mix; bake 325F 1h,Sweet cinnamon quick-bread; communal sharing tradition; the starter is the gift itself,Lancaster County Amish tradition
SS-033,Sámi Barley Flatbread (Gáhkku),100,hulled barley flour,Rehydrate dried starter 12h with warm water and barley flour; mix thick batter; let ferment 4-6h; pat into rounds 1cm thick; bake on open fire or griddle until lightly charred,Rustic barley flatbread; nutty and mild; traditionally baked over birch fire; Sámi reindeer herding staple,Kautokeino Sámi tradition
SS-012,Pane Carasau,65,semolina + durum wheat (70:30),Feed madre 8h with semolina; mix stiff dough; rest 1h; divide and roll paper-thin; bake on stone 450C until puffed; split layers; rebake until crisp,Crispy Sardinian flatbread; puffs into two sheets during baking; keeps for months; drizzle with olive oil or moisten for pane frattau,Sardinian shepherd bread tradition
SS-018,Basque Talo,75,corn flour (stone-ground) + wheat flour (80:20),Feed artalde 8h with corn-wheat blend; mix stiff dough; rest 30min; flatten into rounds 1.5cm thick; cook on hot iron plate (talo burni) until charred,Rustic Basque corn flatbread; smoky from iron plate; served with txistorra sausage or sheep cheese; traditionally eaten at sagardo (cider) houses,Basque Country farmstead tradition
