species,common_name,family,crop_group,domesticated_relative,native_range,min_survival_temp_c,cold_mechanism,usda_zone,conservation_status,grin_available,breeding_use,notes,source
Malus baccata,Siberian crabapple,Rosaceae,fruit,Malus domestica (apple),Siberia; Mongolia; northern China,-50,Deep supercooling of xylem; early dormancy onset,1,Least Concern,yes,Rootstock; cold hardiness donor,Hardiest apple species; fruit 1cm diameter; important rootstock worldwide,Forsline et al. HortScience 38:1 2003
Malus sieversii,Kazakh wild apple,Rosaceae,fruit,Malus domestica (apple),Tian Shan mountains Kazakhstan,-35,Moderate cold tolerance; ancestral diversity,3,Vulnerable,yes,Primary progenitor of M. domestica,Collected by Vavilov; forests being lost; large fruit with diverse phenotypes,Harris et al. J Linn Soc 162:256 2010
Pyrus ussuriensis,Ussurian pear,Rosaceae,fruit,Pyrus communis (pear),Russian Far East; NE China; Korea,-40,Deep supercooling; bark desiccation tolerance,2,Least Concern,yes,Cold hardiness; fireblight resistance,Hardiest pear species; small astringent fruit; parent of Ure and other cold-hardy cultivars,Westwood & Bjornstad HortScience 6:136 1971
Vitis amurensis,Amur grape,Vitaceae,vine,Vitis vinifera (grape),Amur River valley; NE China; Korea,-40,Early growth cessation; rapid deep acclimation; high resveratrol,2,Least Concern,yes,Major cold tolerance donor for wine grapes,Hardiest Vitis species; used in Chinese and Russian grape breeding; short season,Fennell Plant Mol Biol 59:909 2005
Vitis riparia,Riverbank grape,Vitaceae,vine,Vitis vinifera (grape),Eastern North America,-40,Rapid dormancy induction; photoperiod sensitive,2,Least Concern,yes,Rootstock; cold hardiness; phylloxera resistance,Native N. American grape; parent of Frontenac/Marquette; critical for hybrid wine grapes,Luby & Fennell Acta Hort 689:1 2005
Vitis labrusca,Fox grape,Vitaceae,vine,Vitis vinifera (grape),Eastern North America,-30,Moderate cold tolerance; thick bark,3,Least Concern,yes,Table grape breeding; foxy aroma,Parent of Concord; native American grape; used for juice and jelly,Reisch et al. HortScience 47:858 2012
Lonicera caerulea var. kamtschatica,Kamchatka haskap,Caprifoliaceae,berry,Lonicera caerulea (haskap),Kamchatka; NE Siberia,-50,ICE-CBF-COR pathway; flower tolerance -7C,1,Least Concern,limited,Primary cold tolerance source for haskap breeding,Wildtype tolerates -50C; flowers survive -7C; chromosome-scale genome published 2024,Chen et al. J Advanced Research 2024
Lonicera caerulea var. edulis,Edible haskap (Japanese),Caprifoliaceae,berry,Lonicera caerulea (haskap),Hokkaido Japan; Kuril Islands,-35,Moderate cold tolerance; early flowering,3,Least Concern,yes,Flavor; berry size; early season,Japanese selections for flavor and size; crossed with Russian for hardiness,Bors USask Fruit Program publications
Vaccinium angustifolium,Lowbush blueberry,Ericaceae,berry,Vaccinium corymbosum (highbush blueberry),NE North America,-40,Snow cover insulation; low-growing habit; CBF genes,2,Least Concern,yes,Parent of half-high hybrids; wild harvest crop,Wild-harvested commercially in Maine/Quebec; parent of Northblue/Polaris,Rowland et al. HortScience 43:1953 2008
Ribes nigrum var. sibiricum,Siberian black currant,Grossulariaceae,berry,Ribes nigrum (black currant),Siberia; Urals,-45,Early dormancy; dehydrin accumulation,2,Least Concern,limited,Extreme cold tolerance for currant breeding,Wild Siberian ecotype; source of hardiness genes; small berries,Brennan Acta Hort 585:1 2002
Fragaria vesca,Woodland strawberry,Rosaceae,berry,Fragaria × ananassa (garden strawberry),Europe; N. Asia; North America,-30,CBF gene family; small rosette habit; snow cover,3,Least Concern,yes,Reference genome; disease resistance; cold tolerance,Diploid model for strawberry genetics; genome sequenced; alpine forms very cold hardy,Shulaev et al. Nature Genetics 43:109 2011
Rubus idaeus subsp. strigosus,Wild red raspberry,Rosaceae,berry,Rubus idaeus (garden raspberry),North America,-40,Cane desiccation tolerance; crown hardiness,2,Least Concern,yes,Cold hardiness; disease resistance; flavor,North American wild raspberry; parent of Boyne/Killarney; dehydrin-mediated cold tolerance,Weber Plant Breeding 122:1 2003
Prunus fruticosa,Ground cherry,Rosaceae,fruit,Prunus cerasus (sour cherry),Central Europe to Siberia,-40,Dwarf habit; early dormancy,3,Least Concern,yes,Cold hardiness; dwarf habit; parent of Romance series,European steppe cherry; P. cerasus x P. fruticosa hybrids are extremely cold hardy,Iezzoni et al. HortScience 25:1202 1990
Prunus padus,Bird cherry,Rosaceae,fruit,Prunus spp.,Northern Europe; Siberia,-45,Extremely early dormancy; frost-adapted flowering,2,Least Concern,yes,Rootstock; ornamental; minimal fruit use,Circumboreal species; common in Scandinavian forests; very cold tolerant,Hjalmarsson & Wallace Acta Hort 538:1 2000
