starter_id,name,origin_country,origin_city,estimated_age_years,grain_base,hydration_pct,flavor_profile,maintenance_flour,source_bakery,preservation_method,culture_type,microbiome_notes,last_documented,notes
SS-001,San Francisco Mother,USA,San Francisco,175,wheat,100,tangy/sharp/acetic,bread flour,Boudin Bakery,continuous refresh,wheat levain,Lactobacillus sanfranciscensis dominant; first described 1971,2024,Iconic American sourdough; linked to Gold Rush era bakers c.1849
SS-002,Ischia Starter,Italy,Ischia,200,wheat,60,mild/lactic/nutty,tipo 00,local tradition,continuous refresh,pasta madre,L. sanfranciscensis + Candida humilis; volcanic island microbiome,2023,Mediterranean island starter; low hydration stiff levain tradition
SS-003,Finnish Ruis Juuri,Finland,Helsinki,150,rye,100,sour/earthy/malty,whole rye,Fazer,continuous refresh,rye sour,L. brevis + L. plantarum; adapted to 100% rye fermentation,2024,Foundation of Finnish rye bread (ruisleipä); national staple
SS-004,Swedish Surdeig,Sweden,Stockholm,120,rye,100,mild/sweet/lactic,light rye,Petrus Bröd,continuous refresh,rye sour,L. pontis + L. panis; Scandinavian rye adaptation,2024,Base for Swedish limpa and vörtbröd; malt-friendly culture
SS-005,Danish Rugbrød Surdej,Denmark,Copenhagen,130,rye,90,deep sour/malty,coarse rye,Meyers Bageri,continuous refresh,rye sour,L. amylovorus + Pediococcus; cracked rye specialist,2024,Essential for Danish rugbrød (dense rye); 48-hour ferment tradition
SS-006,Yukon Sourdough,Canada,Dawson City,130,wheat,100,tangy/yeasty/robust,all-purpose,Klondike tradition,continuous refresh,wheat levain,Cold-adapted yeasts; survives sub-zero dormancy,2023,Gold Rush era culture; miners kept starters warm in sleeping bags
SS-007,Icelandic Rúgbrauð,Iceland,Reykjavik,200,rye,80,sweet/dark/malty,dark rye,local tradition,geothermal baking,rye sour,Thermophilic lactobacilli from hot spring baking tradition,2023,Baked underground in geothermal hot springs; unique microbiome selection
SS-008,Egyptian Aish Baladi,Egypt,Cairo,4000,wheat,75,mild/wheaty/slightly sour,whole wheat,village tradition,continuous refresh,wheat sour,Ancient lineage; L. plantarum complex,2024,Possibly oldest continuous culture; predynastic heritage
SS-009,German Sauerteig Anstellgut,Germany,Berlin,180,rye,100,strong sour/complex,whole rye,Domberger Brotwerk,continuous refresh,rye sour,L. sanfranciscensis + L. pontis; strict German Reinheitsgebot-adjacent,2024,German rye bread backbone; Detmold three-stage process
SS-010,Norwegian Surdeig,Norway,Trondheim,100,rye/barley,100,mild/lactic/grainy,barley-rye blend,Bakeriet i Lom,continuous refresh,mixed grain sour,L. brevis + Leuconostoc; adapted to barley-rye blend,2024,Traditional Norwegian flatbrød and lefse culture; barley heritage
SS-011,Russian Zakvasca,Russia,Moscow,200,rye,100,very sour/robust/earthy,whole rye,traditional,continuous refresh,rye sour,L. reuteri + L. pontis; cold-ferment adapted,2023,Base for Russian black bread (Borodinsky); cold cellar culture
SS-012,Sardinian Madre,Italy,Cagliari,300,semolina,55,mild/sweet/floral,semola rimacinata,village tradition,stiff levain,pasta madre,L. sanfranciscensis + S. exiguus; durum wheat specialist,2023,Pane Carasau and Carta di Musica tradition; very stiff
SS-013,Alaskan Bush Starter,USA,Fairbanks,100,wheat,100,tangy/resilient,bread flour,bush tradition,freeze/thaw revival,wheat levain,Cryotolerant Saccharomyces; survives -40°C dormancy,2023,Bush Alaska tradition; freeze-dried and revived seasonally
SS-014,Swiss Bergbauer,Switzerland,Graubünden,250,rye/spelt,80,nutty/mild/alpine,rye-spelt blend,alpine bakery,continuous refresh,mixed grain sour,L. plantarum + Weissella; high altitude adaptation,2024,Alpine farmhouse culture; maintained above 1500m elevation
SS-015,Japanese Sake Kasu Tane,Japan,Niigata,400,rice,100,umami/sweet/floral,rice flour,koji tradition,dried/revived,rice sour,L. sakei + Pediococcus; sake lees crossover culture,2023,Fermented rice culture for rice bread; related to sake/miso tradition
SS-016,Ethiopian Injera Ersho,Ethiopia,Addis Ababa,3000,teff,150,tangy/fermented/light,teff flour,traditional,continuous refresh,teff sour,L. pontis + Weissella confusa; teff-adapted microbiome,2024,Injera flatbread culture; extremely high hydration batter
SS-017,Polish Zakwas,Poland,Kraków,200,rye,100,sour/bread/hearty,whole rye,Piekarnia Mojego Taty,continuous refresh,rye sour,L. brevis + L. plantarum; Central European rye tradition,2024,Polish chleb żytni foundation; also used for żurek soup
SS-018,Basque Artalde,Spain,San Sebastián,150,wheat,65,mild/crusty/sweet,local wheat,Goxua,continuous refresh,wheat levain,L. sanfranciscensis; Atlantic climate microbiome,2023,Basque country bread tradition; maritime culture influence
SS-019,Australian Outback Starter,Australia,Alice Springs,80,wheat,100,tangy/dry/sharp,strong flour,bush bakery,dried for transport,wheat levain,Thermotolerant yeasts; survives extreme heat dormancy,2023,Outback station culture; dried on cloth and rehydrated
SS-020,Tibetan Highland Tsampa,China,Lhasa,500,barley,60,mild/nutty/earthy,roasted barley,monastery tradition,dried cake,barley sour,High-altitude adapted lactobacilli; low-oxygen tolerance,2023,Tibetan roasted barley ferment; monastery preservation
SS-021,Mexican Masa Madre,Mexico,Oaxaca,200,corn/wheat,80,corn/lactic/earthy,masa/wheat blend,panadería tradition,continuous refresh,mixed sour,L. plantarum + L. fermentum; corn-wheat co-culture,2024,Mesoamerican corn culture blended with Spanish wheat tradition
SS-022,Scottish Barm,Scotland,Edinburgh,180,wheat/oat,100,malty/oaty/mild,oat-wheat blend,Fisher & Donaldson,continuous refresh,mixed grain sour,S. cerevisiae dominant; ale barm heritage,2023,Descended from brewery barm; oat grain adaptation
SS-023,Latvian Rupjmaize,Latvia,Riga,150,rye,100,deep sour/dark,coarse dark rye,Lāči,continuous refresh,rye sour,L. amylovorus + L. reuteri; Baltic rye culture,2024,Latvian dark rye bread culture; caraway-friendly ferment
SS-024,Estonian Leivajuur,Estonia,Tallinn,140,rye,100,sour/malty/robust,whole rye,Leibur,continuous refresh,rye sour,L. pontis + L. brevis; similar to Finnish ruis tradition,2024,Estonian rye bread foundation; related to Baltic sour traditions
SS-025,Afghan Naan Khamiri,Afghanistan,Kabul,1000,wheat,70,wheaty/mild/blistered,whole wheat,tandoor tradition,dried/revived,wheat sour,L. plantarum; high-altitude wheat culture,2023,Tandoor bread culture; dried for transport between villages
SS-026,Georgian Puri,Georgia,Tbilisi,2000,wheat,75,mild/puffy/charred,local wheat,tone oven tradition,continuous refresh,wheat sour,Ancient Caucasus lineage; wine yeast crossover,2024,Tone-oven bread culture; Fertile Crescent wheat heritage
SS-027,Faroese Rúgbreyð,Faroe Islands,Tórshavn,200,rye,85,dense/sweet/malty,dark rye,local tradition,continuous refresh,rye sour,Sub-arctic adapted lactobacilli; maritime salt tolerance,2023,Faroese rye bread culture; survived extreme island isolation
SS-028,Greenlandic Kaviak Bread,Greenland,Nuuk,100,rye/wheat,90,sour/rustic,rye-wheat blend,local tradition,freeze preservation,mixed sour,Psychrotolerant LAB; cold-dormancy specialist,2023,Arctic culture; naturally preserved by permafrost-adjacent storage
SS-029,Svalbard Seed Vault Culture,Norway,Longyearbyen,10,rye,100,experimental,whole rye,research,lyophilized,rye sour,Cryopreserved reference culture; research specimen,2024,Experimental culture maintained near Global Seed Vault; -18°C storage
