distillery_id,name,country,city,founded,spirit_type,heritage_focus,malting,latitude,longitude,website,notes,source
DIST-001,Mackmyra Svensk Whisky,Sweden,Gävle,1999,single malt,TRUE,mixed,60.6749,17.1413,https://mackmyra.com,"First Swedish whisky distillery; uses Swedish barley, juniper smoke, and Swedish oak casks. Gravity-fed distillery designed for sustainability.",Nordic Whisky Magazine
DIST-002,High Coast (formerly Box),Sweden,Ådalen,2010,single malt,TRUE,external maltster,63.0667,17.9333,https://highcoastwhisky.se,"Sub-arctic distillery at 63°N; extreme temperature swings accelerate maturation. Uses Swedish barley from Norrland fields.",Nordic Whisky Magazine
DIST-003,Smögen Whisky,Sweden,Hunnebostrand,2010,single malt,TRUE,floor malted,58.4333,11.3167,https://smogenwhisky.se,"West coast craft distillery; heavily peated Swedish barley. Floor-malted heritage approach. Named after fishing village.",Malt Whisky Yearbook
DIST-004,Spirit of Hven,Sweden,Ven,2008,single malt;gin,TRUE,floor malted,55.9000,12.7000,https://hven.com,"Island distillery on Hven (between Sweden and Denmark); grows own barley on-site. Organic estate distillery with heritage barley varieties.",Spirit of Hven press materials
DIST-005,Stauning Whisky,Denmark,Stauning,2005,rye whiskey;single malt,TRUE,floor malted,55.9833,8.1000,https://stauningwhisky.com,"Danish craft distillery; floor-malts own grain including heritage Danish rye. Direct-fire distillation. Co-founded by 9 friends.",Whisky Advocate
DIST-006,Kyrö Distillery,Finland,Isokyrö,2014,rye whiskey;gin,TRUE,external maltster,62.9833,22.3167,https://kyrodistillery.com,"Finnish rye whiskey pioneer; uses 100% Finnish whole-grain rye. Born in a sauna conversation. World's northernmost rye whiskey.",Kyrö Distillery press materials
DIST-007,Teerenpeli,Finland,Lahti,2002,single malt,FALSE,external maltster,60.9833,25.6556,https://teerenpeli.com,"Finland's oldest whisky distillery; attached to restaurant/brewery. Finnish barley matured in Finnish conditions.",Finnish Whisky Association
DIST-008,Myken Destilleri,Norway,Myken,2014,single malt,TRUE,external maltster,66.7667,12.4833,https://myken.no,"World's second-northernmost distillery on a tiny island (66°N) with 9 inhabitants. Arctic maritime maturation. Norwegian barley.",Norwegian Spirits Magazine
DIST-009,Aurora Spirit,Norway,Lyngen,2016,single malt;aquavit,TRUE,external maltster,69.5667,20.2000,https://auroraspirit.com,"World's northernmost distillery (69°N); under the Northern Lights. Norwegian barley; Arctic aquavit tradition alongside whisky.",Aurora Spirit press materials
DIST-010,Eimverk Distillery,Iceland,Garðabær,2009,single malt;aquavit,TRUE,external maltster,64.0833,-21.9167,https://floki.is,"Iceland's first whisky distillery; uses Icelandic barley dried with sheep dung smoke (ancient tradition). Flóki brand.",Eimverk press materials
DIST-011,Bruichladdich,Scotland,Islay,1881,single malt,TRUE,mixed,55.7567,-6.3625,https://bruichladdich.com,"Islay distillery leading terroir-driven Scotch; sources heritage barley varieties (Bere, Concerto, Odyssey). 'The Botanist' gin from foraged botanicals.",Bruichladdich Barley Provenance reports
DIST-012,Waterford Distillery,Ireland,Waterford,2015,single malt,TRUE,external maltster,52.2583,-7.1094,https://waterfordwhisky.com,"Terroir-obsessed Irish distillery; sources 100+ individual farm barley lots. Tracks variety and field of origin. Heritage varieties including Hunter and Taberna.",Waterford Distillery farm reports
DIST-013,Westland Distillery,USA,Seattle,2010,single malt,TRUE,mixed,47.5800,-122.3400,https://westlandwhisky.com,"American single malt pioneer; uses heritage barley varieties and Washington-grown grain. Collaborations with WSU barley breeding program.",Westland Distillery press materials
DIST-014,Koval Distillery,USA,Chicago,2008,rye whiskey;single malt,TRUE,external maltster,41.9742,-87.6593,https://koval.com,"Organic craft distillery; grain-to-bottle with Midwest heritage rye and wheat. First distillery in Chicago since Prohibition.",Koval Distillery press materials
DIST-015,Copperworks Distilling,USA,Seattle,2013,single malt,FALSE,external maltster,47.6062,-122.3321,https://copperworksdistilling.com,"American single malt from Pacific Northwest malted barley. Brewer-turned-distiller approach using craft brewing heritage.",American Single Malt Commission
