variety,crop,program,country,traits,cold_tolerance_notes,usda_zone,source
Magnifik,wheat,Graminor,Norway,winterhardiness;bread-making quality,Winter wheat for southern Norway,3-5,Horticulture field guide
Veli,wheat,Boreal,Finland,exceptional winterhardiness,Winter wheat; extreme cold tolerance,2-5,Horticulture field guide
Julius,wheat,Lantmannen,Sweden,winter wheat,Cold-hardy commercial variety,,Horticulture field guide
Stava,wheat,Lantmannen,Sweden,winter wheat,Cold-hardy commercial variety,,Horticulture field guide
Skagen,wheat,Lantmannen,Sweden,winter wheat,Cold-hardy commercial variety,,Horticulture field guide
Elonkerjuu,rye,Boreal,Finland,exceptional winterhardiness,Winter rye; extreme cold tolerance,2-5,Horticulture field guide
Aroma,apple,SLU,Sweden,cold hardiness;bud dormancy,Filippa x Ingrid Marie; Sweden most popular apple,,Horticulture field guide
Katja,apple,SLU,Sweden,cold hardiness,Balsgard station,,Horticulture field guide
Frida,apple,SLU,Sweden,cold hardiness,Balsgard station,,Horticulture field guide
Kim,apple,SLU,Sweden,cold hardiness,Balsgard station,,Horticulture field guide
Tundra,haskap,U Saskatchewan,Canada,flower frost tolerance -7C;survives -45C,Japanese x Russian crosses; zone 2,2,Horticulture field guide
Borealis,haskap,U Saskatchewan,Canada,flower frost tolerance -7C;survives -45C,Japanese x Russian crosses; zone 2,2,Horticulture field guide
Aurora,haskap,U Saskatchewan,Canada,flower frost tolerance -7C;survives -45C,Japanese x Russian crosses; zone 2,2,Horticulture field guide
Tytti,sea buckthorn,Luke,Finland,reduced thorniness;high vitamin C,Cold-hardy berry,,Horticulture field guide
Terhi,sea buckthorn,Luke,Finland,reduced thorniness;high vitamin C,Cold-hardy berry,,Horticulture field guide
Tarmo,sea buckthorn,Luke,Finland,reduced thorniness;high vitamin C,Cold-hardy berry,,Horticulture field guide
Sussi,black currant,SLU Balsgard,Sweden,high anthocyanins;vigorous,Swedish black currant; bred at Balsgard station,3,SLU Balsgard breeding program
Koralle,lingonberry,Germany,Germany,early domestication,Traditionally wild-harvested species,,Horticulture field guide
Mespi,arctic bramble,,,exceptional aromatic quality,Cold-hardy berry; low yields,,Horticulture field guide
Pima,arctic bramble,,,exceptional aromatic quality,Cold-hardy berry; low yields,,Horticulture field guide
Marika,arctic bramble,,,exceptional aromatic quality,Cold-hardy berry; low yields,,Horticulture field guide
Marquette,grape,U Minnesota,USA,red wine quality;survives -34C,V. riparia x V. vinifera; zone 3,3,Horticulture field guide
Zilga,grape (table/wine),Latvian breeding,Latvia,earliest ripening;zone 3;multi-use,Latvian hybrid; commercial in Sweden; Denmark; Norway; very early ripening; zone 3-4,3-4,Latvian variety records
Solaris,grape,,,northern viticulture,Grown commercially in Sweden; Denmark; Norway,,Horticulture field guide
Rondo,grape,,,northern viticulture,Grown commercially in Sweden; Denmark; Norway,,Horticulture field guide
Mirakel,wheat (spring),Graminor,Norway,high yield;exceptional baking quality;disease resistance,Most grown wheat in Norway; wild-type Gpc-B1 allele,4-6,Graminor official; Mros et al. Crop Science 62 2022
Brage,barley (spring 6-row),Graminor,Norway,stable high yield;field resistance powdery mildew;medium-early,Major variety in Norway and Finland; registered 2010,4-6,Graminor official
Heder,barley (spring 6-row),Graminor,Norway,short sturdy stems;quick growth;arctic-adapted,Grown successfully in Arctic Norway; very short frost-free seasons,3-5,Graminor official
Tiril,barley (spring 6-row),Graminor,Norway,early maturity;moderate yield,Norwegian six-row barley,4-6,Graminor official
Ridabu,oat (spring),Graminor,Norway,newest Graminor variety;yield potential,Adapted to Norwegian cool-temperate climate,4-6,Graminor official
Ringsaker,oat (spring),Graminor,Norway,yield;widely grown,Among largest oat area cultivated in Finland 2023,4-6,Finnish Plant Variety Journal 2019
Niklas,oat (spring),Boreal,Finland,yield;northern adaptation,Among most widely cultivated oats in Finland,3-5,Finnish Plant Variety Journal 2019
Akseli,oat (spring),Boreal,Finland,yield;northern adaptation,Widely cultivated in Finland 2023,3-5,Finnish Plant Variety Journal 2019
Urho,wheat (winter),Boreal,Finland,winterhardiness;bread wheat,Among most popular Finnish winter wheat cultivars; breeding parent,2-5,Hommo 1994 Plant Breeding 112:285
Hallfreda,wheat (winter),Lantmannen,Sweden,milling wheat;winter hardy,Promising milling wheat for northern European markets,4-6,Lantmannen Seed official
Brons,wheat (winter),Lantmannen,Sweden,winter wheat;industry quality,Appreciated in Sweden; winter hardy for Nordic conditions,4-6,Lantmannen Seed official
