project_id,name,country,city,latitude,longitude,crops,founded_year,members,hectares,model,focus,varieties_grown,website,notes,source
CGP-001,Allkorn,Sweden,Uppsala,59.86,17.64,wheat;rye;barley;oat;spelt;einkorn;emmer,2004,330,120.0,seed_commons,seed_saving;breeding;heritage_conservation;education,Dala Lantvete;Ölandsvete;Einkorn;Emmer;Kungs-Rye;Oberkulmer Rotkorn,https://www.allkorn.se,Non-profit network founded by Hans Larsson at SLU for participatory plant breeding and heritage grain revival; distributes 10 ears per variety to farmers annually,Allkorn official; Modern Farmer (2013)
CGP-002,Gutekorn,Sweden,Gotland,57.63,18.29,wheat;emmer;einkorn;spelt,2010,6,45.0,co-op,heritage_conservation;grain_growing;marketing,Einkorn;Emmer;Ölandsvete,https://gutekorn.wordpress.com,Six-farm cooperative on Gotland protecting ancient grains from the Ardre treasure cache; operates own gene bank with ~30 varieties,Modern Farmer (2013); Gutekorn official
CGP-003,Brödinstitutet,Sweden,Stockholm,59.33,18.07,wheat;rye;barley;oat,2002,50,0.0,research_network,education;baking;heritage_conservation,,https://www.brodinstitutet.se,Swedish Bread Institute; knowledge hub for bread culture and heritage grains; promotes traditional Nordic bread varieties,Brödinstitutet official
CGP-004,Eldrimner,Sweden,Ås (Östersund),63.18,14.63,wheat;rye;barley;spelt;oat,1995,200,0.0,research_network,education;baking;heritage_conservation,Dala Lantvete;Kungs-Rye,https://www.eldrimner.com,National Centre for Small-Scale Artisan Food Processing; courses on sourdough and heritage grain baking; UNESCO Creative Cities partner,Eldrimner official; UNESCO Östersund
CGP-005,Hidden in Grains,Sweden,Visby,57.64,18.30,wheat;emmer;einkorn;spelt;barley,2015,15,30.0,co-op,grain_growing;milling;marketing;heritage_conservation,Einkorn;Emmer;Ölandsvete,https://hiddeningrains.se,Gotland-based grain company working closely with Allkorn; sources ancient grains from Nordic farmers and mills heritage flour,Hidden in Grains official
CGP-006,Stangeland Mølle,Norway,Sandnes,58.85,5.73,oat;barley;rye;spelt;wheat,1846,25,0.0,community_mill,milling;grain_growing;heritage_conservation,Mirakel;Belinda;Brage,https://stangeland-molle.no,Historic Norwegian stone mill operating since 1846; uses 1927 German stone mill; processes five grain types from local Norwegian farmers,Stangeland Mølle official
CGP-007,NORSØK Heritage Grain Project,Norway,Tingvoll,62.91,8.20,wheat;barley;oat;rye,2016,30,15.0,research_network,breeding;heritage_conservation;education,Mirakel;Runar;Magnifik;Fredrika,https://www.norsok.no,Norwegian Centre for Organic Agriculture; field trials comparing 25 old and modern spring wheat varieties for organic growing and artisan baking,NORSØK official
CGP-008,Organic Denmark Grain Network,Denmark,Aarhus,56.16,10.20,wheat;rye;barley;oat;spelt,1987,500,0.0,co-op,grain_growing;marketing;education;heritage_conservation,,https://www.organicdenmark.com,Økologisk Landsforening grain section; promotes organic and heritage cereal cultivation across Denmark; works with Valsemøllen mills,Organic Denmark official
CGP-009,Boreal Plant Breeding Heritage Program,Finland,Jokioinen,60.81,23.50,wheat;barley;oat;rye,1994,40,200.0,research_network,breeding;heritage_conservation,Veli;Urho;Niklas;Akseli;Elonkerjuu,https://www.boreal.fi,Finnish plant breeding company with heritage variety preservation program; breeds for extreme northern adaptation and winterhardiness,Boreal official
CGP-010,Helsinki Mills Heritage Project,Finland,Järvenpää,60.47,25.09,rye;oat;barley;wheat,1934,30,0.0,community_mill,milling;heritage_conservation;marketing,Akseli;Niklas,https://helsinkimills.com,Family-owned since 1934; Finland's largest organic cereal producer; carbon-neutral milling from Finnish heritage grains,Helsinki Mills official
