variety,seeding_rate,seeding_depth,seeding_window,days_to_maturity,row_spacing,harvest_notes,seed_sources,grower_tips,bread_notes,malt_profile,falling_number,test_weight,sourdough_notes,end_use,species,malt_type,modification,diastatic_power,color_lovibond,extract_potential_pct,kilning_notes,flour_extraction_pct,ash_content_pct,gluten_strength,water_absorption_pct,ideal_stone_type,milling_notes
Magnifik,120-150 kg/ha,3-4 cm,Sep 01-Sep 25 (winter),280-310,12-15 cm,Combine at 14% moisture; good standability,Graminor;Felleskjopet,Excellent bread wheat for southern Norway; needs good snow cover in zone 3,Strong gluten; 12-14% protein; excellent loaf volume; approved Norwegian milling wheat,,,78-82 kg/hl,Good base for wheat levain; strong gluten gives structure in mixed-grain sourdoughs,bread;sourdough,Triticum aestivum,,,,,,,70-75,0.50-0.60,strong,60-64,granite burr; slow speed,Excellent roller mill flour; strong gluten network
Veli,120-140 kg/ha,3-4 cm,Aug 25-Sep 15 (winter),290-320,12-15 cm,Very winter hardy; harvest when heads droop and grain is hard,Boreal;NordGen,Extreme cold tolerance to zone 2; Finnish breeding; reliable in harsh winters,Moderate bread quality; 11-13% protein; best blended with stronger wheats,,,,Mild flavor in sourdough; blends well with rye sours for Finnish-style breads,bread;dual-purpose,Triticum aestivum,,,,,,,68-72,0.55-0.65,medium,58-62,,Moderate extraction; best blended with stronger wheats
Mirakel,130-160 kg/ha,3-4 cm,Apr 15-May 15 (spring),95-110,12-15 cm,Spring wheat; harvest at golden straw stage,Graminor;Lantmannen,Norwegian spring wheat; high protein; excellent bread quality,Outstanding bread wheat; 13-15% protein; wild-type Gpc-B1 allele; Norway's most grown wheat,,,79-84 kg/hl,Excellent sourdough wheat; high protein supports long fermentation; nutty flavor development,bread;sourdough,Triticum aestivum,,,,,,,72-76,0.48-0.58,very_strong,62-66,granite burr; medium speed,Outstanding stone mill wheat; high protein supports artisan baking
Norstar,100-130 kg/ha,3-5 cm,Sep 01-Sep 25 (winter),280-310,15-18 cm,Very hardy; harvest when kernel snaps clean,GRIN/NPGS;SeCan,Canadian benchmark for winter hardiness; zone 2-3 reliable,Moderate bread quality; 11-12% protein; better for blending than solo bread flour,,,,Fair sourdough base; mild flavor; best mixed with heritage rye for character,bread;dual-purpose,Triticum aestivum,base,medium,90-110,1.5-2.5,78-80,Standard pale malt kilning,,,,,,
Kharkov,100-120 kg/ha,3-5 cm,Sep 01-Oct 01 (winter),280-310,15-18 cm,Heritage variety; may lodge; harvest before overripe,GRIN/NPGS;Heritage Grain Conservancy,1900 Ukrainian landrace; parent of many modern winter wheats; historical significance,Historic bread wheat; 11-13% protein; moderate gluten; open crumb; interesting flavor,,250-300 s,76-80 kg/hl,Excellent heritage sourdough character; complex earthy-sweet flavor; rewards long cold ferments,bread;sourdough,Triticum aestivum,,,,,,,,,,,,
Hallfreda,130-150 kg/ha,3-4 cm,Sep 01-Sep 20 (winter),285-310,12-15 cm,Winter wheat; good for Nordic baking,Lantmannen;NordGen,Swedish winter wheat; named for Viking-age woman; good bread quality,Good milling wheat; 11-13% protein; approved for Swedish bread flour,,,78-82 kg/hl,Reliable sourdough wheat; clean mild flavor; pairs well with Swedish rye sour,bread;sourdough,Triticum aestivum,,,,,,,,,,,,
Elonkerjuu,100-130 kg/ha,2-3 cm,Aug 20-Sep 15 (winter),270-300,12-15 cm,Rye lodges easily; harvest promptly when grain darkens,Boreal;NordGen,The hardiest cultivated rye; Finnish breeding for zone 2; makes superb sourdough,,,,72-76 kg/hl,Premier sourdough rye; deep earthy sour flavor; ideal for Finnish ruisleipa and 100% rye breads,bread;sourdough,Secale cereale,,,,,,,,,,,,
Petkus,100-120 kg/ha,2-3 cm,Sep 01-Sep 25 (winter),275-305,15-18 cm,Classic rye; tall stems; harvest at full color,Heritage Grain Conservancy;NordGen,German population rye from 1880s; parent of modern hybrid ryes; excellent flavor,,,,72-76 kg/hl,The benchmark sourdough rye; full-bodied sour flavor; ideal for German Bauernbrot and Roggenbrot,bread;sourdough,Secale cereale,,,,,,,,,,,,
Imperial,100-130 kg/ha,2-3 cm,Sep 01-Sep 20 (winter),275-305,12-15 cm,Winter rye; good standability for rye,Lantmannen;NordGen,Swedish winter rye; reliable performer in zones 3-5,,,,72-76 kg/hl,Good all-purpose sourdough rye; mild balanced sour; suitable for Swedish limpa,bread;sourdough;forage,Secale cereale,,,,,,,,,,,,
Musketeer,110-130 kg/ha,2-3 cm,Sep 01-Sep 25 (winter),270-300,12-15 cm,Hybrid rye; higher yield; harvest when awns dry,Nordic Seed;commercial,Danish hybrid rye; higher yield than population ryes; good bread quality,,,,74-78 kg/hl,Acceptable sourdough rye but less complex than population varieties like Petkus or Danko,bread;feed,Secale cereale,,,,,,,,,,,,
Danko,100-120 kg/ha,2-3 cm,Sep 01-Oct 01 (winter),275-305,15-18 cm,Polish rye; classic bread type; moderate height,Heritage Grain Conservancy;GRIN/NPGS,Polish population rye; standard bread rye in Central Europe; rich flavor,,,,72-76 kg/hl,Superb sourdough rye; rich malty flavor; the rye of choice for Polish chleb zytni and Baltic dark breads,bread;sourdough,Secale cereale,distilling,medium,80-105,2-4,74-77,Polish rye; spicy distilling character,72-78,0.60-0.75,weak,63-68,,Standard rye milling; consistent flour quality
Chulpan,90-110 kg/ha,2-3 cm,Aug 25-Sep 15 (winter),270-300,12-15 cm,Short-strawed rye; good lodging resistance,NordGen;VIR,Russian winter rye; bred for Siberian conditions; extreme frost tolerance,,,,72-74 kg/hl,Excellent cold-climate sourdough rye; robust sour profile; traditional for Russian black bread,bread;sourdough,Secale cereale,,,,,,,,,,,,
Brage,140-160 kg/ha,3-4 cm,Apr 20-May 15 (spring),90-105,12-15 cm,Spring barley; harvest when awns brittle and grain hard,Graminor;Felleskjopet,Norwegian six-row spring barley; feed and food quality; good for home brewing,,Moderate malt quality; six-row; higher enzyme activity; good for home brew malt,,64-68 kg/hl,Mild nutty character in barley sourdough; good for porridge breads and Nordic barley flatbreads,malt;feed,Hordeum vulgare,,,,,,,,,,,,
Heder,140-160 kg/ha,3-4 cm,Apr 15-May 10 (spring),90-100,12-15 cm,Spring barley; clean harvest for malt quality,Boreal;NordGen,Finnish spring barley; malting quality; adapted to short northern season,,Good malting barley; moderate extract; Arctic-adapted; short season but acceptable malt,,64-68 kg/hl,Subtle malty sweetness in sourdough; good blended with rye for Scandinavian mixed-grain breads,malt;feed,Hordeum vulgare,,,,,,,,,,,,
Morex,130-150 kg/ha,3-5 cm,Mar 20-Apr 15 (spring),85-100,15-18 cm,Classic malting barley; harvest at low moisture,GRIN/NPGS;commercial,US malting barley standard; six-row; genome fully sequenced; research benchmark,,Reference malting barley; first full genome sequence; high diastatic power; benchmark extract,,64-68 kg/hl,Standard barley for sourdough experiments; mild clean flavor; genome reference makes it interesting for grain science bakers,malt;distilling,Hordeum vulgare,,,,,,,,,,,,
Rasmusson,130-150 kg/ha,3-5 cm,Mar 20-Apr 15 (spring),85-100,15-18 cm,Six-row malting; harvest when kernels polish clean,GRIN/NPGS;commercial,Minnesota-bred malting barley; excellent malt extract; craft brewing favorite,,Excellent craft malt; high extract; plump kernels; preferred by Upper Midwest craft maltsters,,64-68 kg/hl,Clean malty character in sourdough; popular with grain-to-glass-to-bread artisans,malt;distilling,Hordeum vulgare,,,,,,,,,,,,
Dicktoo,120-140 kg/ha,3-5 cm,Sep 15-Oct 10 (winter),250-280,15-18 cm,Winter barley; check winterhardiness in zone 3,GRIN/NPGS;NordGen,Winter barley for research; cold hardy for barley; genome sequenced,,Research barley; winter type; cold-hardy reference; genome sequenced for frost tolerance loci,,62-66 kg/hl,,feed,Hordeum vulgare,,,,,,,,,,,,
Ridabu,140-160 kg/ha,3-4 cm,May 01-May 20 (spring),90-105,12-15 cm,Spring oat; harvest when panicle hangs and grain firm,Graminor;NordGen,Norwegian spring oat; adapted to short northern season; good groat quality,,,,52-58 kg/hl,Oat sourdough is mild and creamy; good for Scottish-style oat barm breads,bread;dual-purpose,Avena sativa,,,,,,,,,,,,
Ringsaker,140-160 kg/ha,3-4 cm,May 01-May 20 (spring),90-105,12-15 cm,Spring oat; similar to Ridabu harvest timing,Graminor;NordGen,Norwegian spring oat; hull-less option; direct food use without dehulling,,,,52-58 kg/hl,Hull-less oat ideal for porridge sourdough; sweet creamy crumb in mixed-grain breads,bread;dual-purpose,Avena sativa,,,,,,,,,,,,
Niklas,140-160 kg/ha,3-4 cm,Apr 20-May 15 (spring),90-100,12-15 cm,Spring oat; harvest when grain rattles in hull,Boreal;NordGen,Finnish spring oat; good for porridge and baking; reliable in zone 3,,,,52-56 kg/hl,Good oat for sourdough porridge bread; Finnish tradition of oat-rye mixed breads,bread;dual-purpose,Avena sativa,,,,,,,,,,,,
Akseli,140-160 kg/ha,3-4 cm,Apr 25-May 15 (spring),90-105,12-15 cm,Spring oat; standard Nordic harvest timing,Boreal;NordGen,Finnish spring oat; bred for northern conditions; Akseli Gallen-Kallela namesake,,,,52-56 kg/hl,,feed;dual-purpose,Avena sativa,,,,,,,,,,,,
Belinda,140-160 kg/ha,3-4 cm,Apr 15-May 10 (spring),90-100,12-15 cm,Spring oat; good standability; clean harvest,NordGen;Lantmannen,Swedish spring oat; widely grown in Nordic countries; consistent performer,,,,52-58 kg/hl,Reliable oat for Scandinavian sourdough traditions; mild sweet flavor,bread;dual-purpose,Avena sativa,specialty,high,50-70,2-4,72-76,Oat malt; hull-less; smooth creamy character,,,,,,
Antonovka,1 tree per 5-8 m,graft union at soil level,Oct-Nov (dormant),3-5 years to first fruit,5-8 m between trees,Harvest late Sep-Oct; stores well in cold root cellar,NordGen;heritage nurseries,Legendary Russian apple rootstock and cooking apple; extreme cold hardy to zone 2; seedling rootstock standard,,,,,,fresh eating;juice/wine,Malus domestica,,,,,,,,,,,,
Marquette,1 vine per 2-3 m,graft or own-root; plant to 2nd bud,Apr-May (dormant),3 years to first crop,2-3 m in row; 3 m between rows,Harvest mid-Sep; Brix 24-26 typical; excellent red wine,University of Minnesota;cold-hardy nurseries,Minnesota hybrid wine grape; zone 3 hardy; parent is MN 1094; makes structured red wines,,,,,,juice/wine,Vitis hybrid,,,,,,,,,,,,
Tundra,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1.5 m in row; 3-4 m between rows,Harvest late Jun-early Jul; blue honeysuckle berry; hand pick,University of Saskatchewan;nurseries,Haskap (honeyberry); zone 2 hardy; flowers survive -7C; needs pollinator pair,,,,,,fresh eating,Lonicera caerulea,,,,,,,,,,,,
Tytti,1 plant per 1 m,crown at soil level,Oct-Nov or Mar-Apr,2-3 years to first crop,1 m in row; 3 m between rows,Harvest Jul-Aug; tart orange berry; high vitamin C,NordGen;Nordic nurseries,Sea buckthorn; zone 2 hardy; nitrogen fixer; thornless female cultivar; needs male pollinator,,,,,,juice/wine,Hippophae rhamnoides,,,,,,,,,,,,
Sussi,1 plant per 1.5 m,crown at soil level,Oct-Nov or Mar-Apr,2 years to first crop,1.5 m in row; 2-3 m between rows,Harvest Jul; black currant; machine or hand harvest,SLU Balsgard;Nordic nurseries,Swedish black currant; zone 3; high anthocyanins; bred at Balsgard station,,,,,,fresh eating;juice/wine,Ribes nigrum,,,,,,,,,,,,
Oberkulmer Rotkorn,120-150 kg/ha,3-5 cm,Sep 15-Oct 10 (winter),280-310,15-18 cm,Hulled grain; needs dehulling before milling; tall stems,Heritage Grain Conservancy;ProSpecieRara,Swiss heritage spelt from 1948; benchmark spelt variety; excellent flavor; tall and competitive,Excellent bread spelt; nutty sweet flavor; high protein 13-15%; extensible gluten; open crumb,,250-320 s,72-78 kg/hl,The gold standard sourdough spelt; rich nutty flavor; extensible dough rewards gentle handling,bread;sourdough,Triticum spelta,,,,,,,62-68,0.65-0.80,medium,56-60,granite burr; slow speed,Swiss heritage spelt; excellent stone mill flour; nutty aroma
Frankenkorn,120-150 kg/ha,3-5 cm,Sep 01-Oct 01 (winter),280-310,15-18 cm,Winter spelt; harvest when hulls golden; thresh gently,IPK Gatersleben;heritage sources,German heritage spelt; Franconia origin; good bread and pasta quality,Good bread spelt; similar to Oberkulmer; slightly lower protein; good pasta potential,,260-330 s,72-76 kg/hl,Excellent sourdough spelt; sweet and mellow; less sour than wheat ferments,bread;sourdough;pastry,Triticum spelta,,,,,,,,,,,,
Dala Lantvete,80-100 kg/ha,2-3 cm,Sep 01-Sep 20 (winter),280-310,12-15 cm,Heritage wheat; low input; may lodge; harvest at golden straw,NordGen;Allkorn,Swedish landrace wheat from Dalarna; adapted over centuries to Nordic conditions,Ancient landrace bread wheat; 10-12% protein; soft texture; complex flavor; best for hearth breads,,200-280 s,74-78 kg/hl,Outstanding heritage sourdough wheat; deep complex flavor that modern wheats lack; worth seeking out,bread;sourdough,Triticum aestivum,,,,,,,65-70,0.60-0.75,weak,55-58,natural sandstone; very slow,Heritage landrace; low extraction; excellent whole grain flour
Einkorn,60-80 kg/ha,2-3 cm,Apr 15-May 15 (spring) or Sep (winter),100-120 (spring) / 280-310 (winter),12-15 cm,Hulled grain; harvest early; very small kernels; needs dehulling,Heritage Grain Conservancy;GRIN/NPGS,First domesticated wheat (10000 BC); diploid; yellow flour rich in carotenoids; low yield but unique nutrition,Delicate bread; yellow crumb from carotenoids; 14-18% protein but weak gluten; best for flatbreads and pasta,,180-250 s,58-64 kg/hl,Beautiful golden sourdough with buttery flavor; weak gluten means flat loaves but incredible taste; blend with spelt for lift,bread;sourdough;pastry,Triticum monococcum,,,,,,,55-62,0.80-1.00,weak,48-52,natural sandstone; very slow,Ancient diploid wheat; very small grain; low yield flour; deep golden color
Emmer,80-100 kg/ha,3-4 cm,Sep 01-Oct 01 (winter) or Mar-Apr (spring),110-120 (spring) / 280-310 (winter),15-18 cm,Hulled grain; needs dehulling; tall stems; harvest before overripe,Heritage Grain Conservancy;GRIN/NPGS,Ancient tetraploid wheat; parent of durum; extremely disease resistant; low-input champion,Good pasta grain; moderate gluten; 12-14% protein; excellent for flatbreads and farro risotto,,200-280 s,68-74 kg/hl,Earthy nutty sourdough character; moderate gluten gives dense but flavorful crumb; traditional Middle Eastern flatbread grain,bread;sourdough;pastry,Triticum dicoccum,,,,,,,58-65,0.75-0.90,weak,50-55,natural sandstone; slow,Ancient tetraploid wheat; hulled; requires dehulling before milling
Glenn,120-150 kg/ha,3-5 cm,Apr 01-Apr 30 (spring),90-105,15-18 cm,Hard red spring wheat; harvest at low moisture; good test weight,NDSU Foundation Seed;commercial,North Dakota hard red spring wheat; high protein; excellent bread quality; Fusarium resistant,Premium bread wheat; 14-16% protein; strong gluten; excellent loaf volume; NDSU benchmark,,,80-84 kg/hl,Superb sourdough bread wheat; strong gluten handles long fermentation beautifully; clean wheaty flavor,bread;sourdough,Triticum aestivum,,,,,,,,,,,,
Jagger,100-130 kg/ha,3-5 cm,Sep 15-Oct 15 (winter),280-310,15-18 cm,Hard red winter wheat; harvest at 13% moisture; excellent milling,Kansas State Foundation Seed;commercial,Kansas hard red winter wheat; once the most planted US wheat variety; excellent milling,Outstanding bread wheat; 12-14% protein; excellent milling yield; strong gluten,,,80-84 kg/hl,Classic American sourdough wheat; reliable strong flavor; pairs well with any starter culture,bread;sourdough,Triticum aestivum,,,,,,,,,,,,
Kungs-Rye,90-110 kg/ha,2-3 cm,Sep 01-Sep 20 (winter),275-305,12-15 cm,Heritage rye; tall; may lodge in rich soil; harvest when grain darkens,NordGen;Allkorn,Swedish heritage rye; once the king's rye; grown in central Sweden for centuries,,,,72-76 kg/hl,Magnificent sourdough rye; complex sweet-sour profile; the rye Swedish limpa deserves,bread;sourdough,Secale cereale,,,,,,,70-76,0.65-0.80,weak,64-70,granite burr; medium speed,Swedish heritage rye; excellent for traditional rågbröd
Marquis,100-130 kg/ha,3-5 cm,Apr 01-May 01 (spring),100-115,15-18 cm,Heritage hard red spring wheat; harvest when straw golden; moderate yield,GRIN/NPGS;Heritage Grain Conservancy,The wheat that built the Canadian prairies (1909); parent of most modern spring wheats; bred by Charles Saunders,Historic bread wheat; 12-14% protein; good gluten; the wheat that proved Canada could grow world-class bread,,250-310 s,78-82 kg/hl,Beautiful heritage sourdough wheat; slightly sweeter than modern varieties; the original Canadian bread wheat,bread;sourdough,Triticum aestivum,,,,,,,,,,,,
Red Fife,100-120 kg/ha,3-5 cm,Apr 01-May 01 (spring),105-120,15-18 cm,Heritage spring wheat; tall; may lodge; harvest before rain,GRIN/NPGS;Heritage Grain Conservancy;Seed Savers Exchange,Canada's first great wheat (1842); parent of Marquis; Scottish origin; revived by heritage grain movement,Excellent heritage bread wheat; 12-14% protein; nutty complex flavor; the original Canadian wheat,,250-300 s,76-80 kg/hl,The sourdough baker's heritage wheat; deep complex nutty flavor; long cold fermentation brings out caramel notes,bread;sourdough,Triticum aestivum,,,,,,,,,,,,
